,location,date,excess_mortality,excess_mortality_cumulative,excess_mortality_cumulative_absolute,excess_mortality_cumulative_per_million,excess_mortality_count_week,excess_mortality_count_week_pm,cumulative_estimated_daily_excess_deaths,cumulative_estimated_daily_excess_deaths_ci_95_top,cumulative_estimated_daily_excess_deaths_ci_95_bot,cumulative_estimated_daily_excess_deaths_per_100k,cumulative_estimated_daily_excess_deaths_ci_95_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_95_bot_per_100k
14109,Lithuania,2020-03-15,0.19,-6.2,-566.9,-210.75430635475,1.5,0.557649425881328,,,,,,
14110,Lithuania,2020-03-16,,,,,,,-215.087827715652,-215.087827715652,-215.087827715652,-7.99624024264634,-7.99624024264634,-7.99624024264634
14111,Lithuania,2020-03-22,6.28,-5.24,-519.4,-193.095407868508,47.5,17.658898486242,,,,,,
14112,Lithuania,2020-03-23,,,,,,,-129.708895131417,-129.708895131417,-129.708895131417,-4.82213939344906,-4.82213939344906,-4.82213939344906
14113,Lithuania,2020-03-29,10.49,-4.15,-441.9,-164.283520864639,77.5,28.8118870038686,,,,,,
14114,Lithuania,2020-03-30,,,,,,,-94.5299625471815,-94.5299625471815,-94.5299625471815,-3.51430528953461,-3.51430528953461,-3.51430528953461
14115,Lithuania,2020-04-05,3.65,-3.64,-414.6,-154.134301313599,27.3,10.1492195510402,,,,,,
14116,Lithuania,2020-04-06,,,,,,,-24.7510299629459,-24.7510299629459,-24.7510299629459,-0.920159843253887,-0.920159843253887,-0.920159843253887
14117,Lithuania,2020-04-12,8.35,-2.91,-352.7,-131.121968338896,61.9,23.0123329747028,,,,,,
14118,Lithuania,2020-04-13,,,,,,,29.8279026212895,29.8279026212895,29.8279026212895,1.10890085146708,1.10890085146708,1.10890085146708
14119,Lithuania,2020-04-19,6.33,-2.38,-306.0,-113.760482879791,46.7,17.3614854591053,,,,,,
14120,Lithuania,2020-04-20,,,,,,,108.406835205525,108.406835205525,108.406835205525,4.03020062759817,4.03020062759817,4.03020062759817
14121,Lithuania,2020-04-26,9.88,-1.73,-235.3,-87.4766066065843,70.7,26.2838762732066,,,,,,
14122,Lithuania,2020-04-27,,,,,,,184.185767789761,184.185767789761,184.185767789761,6.84740584423143,6.84740584423143,6.84740584423143
14123,Lithuania,2020-05-03,9.68,-1.17,-167.4,-62.2336759283562,67.9,25.2429306782281,,,,,,
14124,Lithuania,2020-05-04,,,,,,,194.164700373996,194.164700373996,194.164700373996,7.21838891266526,7.21838891266526,7.21838891266526
14125,Lithuania,2020-05-10,0.29,-1.1,-165.3,-61.4529667321223,2.1,0.780709196233859,,,,,,
14126,Lithuania,2020-05-11,,,,,,,246.743632958232,246.743632958232,246.743632958232,9.17309635060208,9.17309635060208,9.17309635060208
14127,Lithuania,2020-05-17,6.49,-0.77,-120.6,-44.8350138408587,44.7,16.6179528912636,,,,,,
14128,Lithuania,2020-05-18,,,,,,,241.122565542467,241.122565542467,241.122565542467,8.96412401611932,8.96412401611932,8.96412401611932
14129,Lithuania,2020-05-24,-1.85,-0.82,-134.1,-49.8538586737907,-13.5,-5.01884483293195,,,,,,
14130,Lithuania,2020-05-25,,,,,,,291.501498126703,291.501498126703,291.501498126703,10.8370428715935,10.8370428715935,10.8370428715935
14131,Lithuania,2020-05-31,6.05,-0.53,-91.6,-34.0537916071531,42.5,15.8000670666376,,,,,,
14132,Lithuania,2020-06-01,,,,,,,340.280430710938,340.280430710938,340.280430710938,12.6504791216404,12.6504791216404,12.6504791216404
14133,Lithuania,2020-06-07,5.89,-0.28,-50.7,-18.8485505947889,40.9,15.2052410123642,,,,,,
14134,Lithuania,2020-06-08,,,,,,,504.459363295173,504.459363295173,504.459363295173,18.7540982881342,18.7540982881342,18.7540982881342
14135,Lithuania,2020-06-14,23.55,0.57,105.6,39.2585195820455,156.3,58.1070701768343,,,,,,
14136,Lithuania,2020-06-15,,,,,,,609.438295879408,609.438295879408,609.438295879408,22.6568610538164,22.6568610538164,22.6568610538164
14137,Lithuania,2020-06-21,14.65,1.06,202.7,75.3570257507634,97.1,36.0985061687179,,,,,,
14138,Lithuania,2020-06-22,,,,,,,747.217228463643,747.217228463643,747.217228463643,27.7790172307592,27.7790172307592,27.7790172307592
14139,Lithuania,2020-06-28,19.07,1.68,332.6,123.649466032086,129.9,48.292440281323,,,,,,
14140,Lithuania,2020-06-29,,,,,,,795.396161047878,795.396161047878,795.396161047878,29.5701475037708,29.5701475037708,29.5701475037708
14141,Lithuania,2020-07-05,6.21,1.82,372.9,138.631647274098,40.3,14.9821812420117,,,,,,
14142,Lithuania,2020-07-06,,,,,,,852.175093632113,852.175093632113,852.175093632113,31.6809967809543,31.6809967809543,31.6809967809543
14143,Lithuania,2020-07-12,7.48,2.0,421.8,156.811018557829,48.9,18.1793712837313,,,,,,
14144,Lithuania,2020-07-13,,,,,,,967.354026216349,967.354026216349,967.354026216349,35.9629611562359,35.9629611562359,35.9629611562359
14145,Lithuania,2020-07-19,16.34,2.43,529.1,196.70154082254,107.3,39.890522264711,,,,,,
14146,Lithuania,2020-07-20,,,,,,,1041.13295880058,1041.13295880058,1041.13295880058,38.7058131160849,38.7058131160849,38.7058131160849
14147,Lithuania,2020-07-26,9.54,2.65,595.0,221.200938932927,65.9,24.4993981103863,,,,,,
14148,Lithuania,2020-07-27,,,,,,,1123.51189138482,1123.51189138482,1123.51189138482,41.7683840801059,41.7683840801059,41.7683840801059
14149,Lithuania,2020-08-02,11.49,2.9,669.5,248.897527085033,74.5,27.6965881521059,,,,,,
14150,Lithuania,2020-08-03,,,,,,,1186.29082396906,1186.29082396906,1186.29082396906,44.1022931276421,44.1022931276421,44.1022931276421
